stem,split,Emotion
dia0_utt0,train,neutral
dia0_utt1,train,neutral
dia0_utt2,train,neutral
dia0_utt3,train,neutral
dia0_utt4,train,surprise
dia0_utt5,train,neutral
dia0_utt6,train,neutral
dia0_utt7,train,neutral
dia0_utt8,train,neutral
dia0_utt9,train,neutral
dia0_utt10,train,fear
dia0_utt11,train,neutral
dia0_utt12,train,surprise
dia0_utt13,train,neutral
dia1_utt0,train,surprise
dia1_utt1,train,sadness
dia1_utt2,train,surprise
dia1_utt3,train,fear
dia1_utt4,train,neutral
dia1_utt5,train,neutral
dia1_utt8,train,neutral
dia2_utt0,train,neutral
dia2_utt1,train,neutral
dia2_utt2,train,joy
dia2_utt3,train,sadness
dia2_utt4,train,surprise
dia2_utt5,train,neutral
dia2_utt6,train,disgust
dia2_utt7,train,sadness
dia2_utt8,train,neutral
dia2_utt9,train,neutral
dia2_utt10,train,joy
dia2_utt11,train,neutral
dia2_utt12,train,joy
dia3_utt0,train,surprise
dia3_utt1,train,surprise
dia3_utt2,train,surprise
dia3_utt3,train,neutral
dia3_utt4,train,neutral
dia3_utt5,train,neutral
dia3_utt6,train,surprise
dia3_utt8,train,sadness
dia3_utt9,train,neutral
dia4_utt0,train,surprise
dia4_utt1,train,joy
dia4_utt2,train,surprise
dia4_utt3,train,neutral
dia4_utt4,train,neutral
dia4_utt5,train,neutral
dia4_utt6,train,neutral
dia4_utt7,train,neutral
dia4_utt8,train,joy
dia4_utt9,train,joy
dia4_utt10,train,joy
dia4_utt11,train,sadness
dia4_utt12,train,neutral
dia4_utt13,train,neutral
dia4_utt14,train,neutral
dia5_utt0,train,neutral
dia5_utt1,train,neutral
dia5_utt2,train,neutral
dia5_utt3,train,surprise
dia6_utt0,train,joy
dia6_utt1,train,surprise
dia6_utt2,train,joy
dia6_utt3,train,neutral
dia6_utt4,train,neutral
dia6_utt5,train,anger
dia6_utt6,train,joy
dia6_utt7,train,neutral
dia6_utt8,train,surprise
dia6_utt9,train,anger
dia6_utt10,train,anger
dia6_utt11,train,anger
dia6_utt12,train,neutral
dia6_utt13,train,neutral
dia6_utt14,train,sadness
dia6_utt15,train,sadness
dia6_utt16,train,sadness
dia6_utt17,train,surprise
dia6_utt18,train,anger
dia6_utt19,train,anger
dia6_utt20,train,anger
dia6_utt21,train,anger
dia7_utt0,train,neutral
dia7_utt1,train,anger
dia8_utt0,train,neutral
dia8_utt1,train,neutral
dia8_utt2,train,neutral
dia8_utt3,train,neutral
dia8_utt4,train,joy
dia8_utt5,train,neutral
dia8_utt6,train,joy
dia9_utt0,train,neutral
dia9_utt1,train,neutral
dia9_utt2,train,neutral
dia9_utt3,train,joy
dia9_utt4,train,neutral
dia9_utt5,train,neutral
dia9_utt6,train,neutral
dia9_utt7,train,neutral
dia9_utt8,train,neutral
dia9_utt9,train,joy
dia9_utt10,train,neutral
dia9_utt11,train,neutral
dia9_utt12,train,disgust
dia9_utt13,train,anger
dia10_utt0,train,anger
dia10_utt1,train,anger
dia10_utt2,train,anger
dia10_utt3,train,anger
dia10_utt4,train,anger
dia10_utt5,train,neutral
dia11_utt0,train,neutral
dia11_utt1,train,anger
dia11_utt2,train,neutral
dia11_utt3,train,joy
dia11_utt4,train,neutral
dia11_utt5,train,neutral
dia11_utt6,train,joy
dia11_utt7,train,joy
dia11_utt8,train,joy
dia11_utt9,train,joy
dia12_utt0,train,neutral
dia12_utt1,train,joy
dia12_utt2,train,disgust
dia12_utt3,train,surprise
dia12_utt4,train,disgust
dia12_utt5,train,neutral
dia12_utt6,train,fear
dia12_utt7,train,neutral
dia12_utt8,train,surprise
dia12_utt9,train,fear
dia12_utt10,train,disgust
dia12_utt11,train,anger
dia13_utt0,train,joy
dia13_utt1,train,neutral
dia13_utt2,train,surprise
dia13_utt3,train,neutral
dia14_utt0,train,neutral
dia14_utt1,train,neutral
dia14_utt2,train,neutral
dia14_utt3,train,surprise
dia14_utt4,train,neutral
dia14_utt5,train,neutral
dia15_utt0,train,anger
dia15_utt1,train,neutral
dia15_utt2,train,neutral
dia15_utt3,train,sadness
dia15_utt4,train,surprise
dia15_utt5,train,sadness
dia15_utt6,train,anger
dia15_utt7,train,sadness
dia15_utt8,train,neutral
dia15_utt9,train,sadness
dia15_utt10,train,neutral
dia15_utt11,train,neutral
dia15_utt12,train,neutral
dia15_utt13,train,neutral
dia15_utt14,train,neutral
dia15_utt15,train,joy
dia15_utt16,train,anger
dia15_utt17,train,anger
dia15_utt18,train,anger
dia15_utt19,train,neutral
dia15_utt20,train,anger
dia15_utt21,train,joy
dia15_utt22,train,joy
dia16_utt0,train,joy
dia16_utt1,train,joy
dia16_utt2,train,disgust
dia16_utt3,train,surprise
dia16_utt4,train,neutral
dia16_utt5,train,neutral
dia17_utt0,train,anger
dia17_utt1,train,joy
dia17_utt2,train,neutral
dia17_utt3,train,neutral
dia17_utt4,train,fear
dia17_utt5,train,neutral
dia17_utt6,train,fear
dia17_utt7,train,joy
dia17_utt8,train,joy
dia17_utt9,train,joy
dia17_utt10,train,joy
dia18_utt0,train,neutral
dia18_utt1,train,neutral
dia18_utt2,train,neutral
dia18_utt3,train,joy
dia18_utt4,train,neutral
dia18_utt5,train,joy
dia18_utt6,train,fear
dia18_utt7,train,neutral
dia18_utt8,train,sadness
dia18_utt9,train,surprise
dia18_utt10,train,fear
dia19_utt0,train,neutral
dia19_utt1,train,neutral
dia20_utt0,train,neutral
