split,stem,audio_path,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
train,dia0_utt0,data/audio/train/dia0_utt0.flac,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
train,dia0_utt1,data/audio/train/dia0_utt1.flac,You must’ve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
train,dia0_utt2,data/audio/train/dia0_utt2.flac,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
train,dia0_utt3,data/audio/train/dia0_utt3.flac,So let’s talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
train,dia0_utt4,data/audio/train/dia0_utt4.flac,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
train,dia0_utt5,data/audio/train/dia0_utt5.flac,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
train,dia0_utt6,data/audio/train/dia0_utt6.flac,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
train,dia0_utt7,data/audio/train/dia0_utt7.flac,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
train,dia0_utt8,data/audio/train/dia0_utt8.flac,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
train,dia0_utt9,data/audio/train/dia0_utt9.flac,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
train,dia0_utt10,data/audio/train/dia0_utt10.flac,No don’t I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
train,dia0_utt11,data/audio/train/dia0_utt11.flac,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
train,dia0_utt12,data/audio/train/dia0_utt12.flac,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
train,dia0_utt13,data/audio/train/dia0_utt13.flac,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
train,dia1_utt0,data/audio/train/dia1_utt0.flac,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
train,dia1_utt1,data/audio/train/dia1_utt1.flac,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
train,dia1_utt2,data/audio/train/dia1_utt2.flac,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
train,dia1_utt3,data/audio/train/dia1_utt3.flac,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
train,dia1_utt4,data/audio/train/dia1_utt4.flac,Ok!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
